rank,edcs_id
1,EDCS-21100352
2,EDCS-20900301
3,EDCS-22000506
4,EDCS-22700120
5,EDCS-21600260
6,EDCS-21100350
7,EDCS-22000472
8,EDCS-25500180
9,EDCS-24800717
10,EDCS-21600211
11,EDCS-43500033
12,EDCS-21100068
13,EDCS-21100208
14,EDCS-21300116
15,EDCS-20900365
16,EDCS-21100112
17,EDCS-21100169
18,EDCS-70100143
19,EDCS-22000580
20,EDCS-21100042
21,EDCS-21600272
22,EDCS-21100101
23,EDCS-22700141
24,EDCS-22200703
25,EDCS-70100136
26,EDCS-21100278
27,EDCS-20900305
28,EDCS-21600291
29,EDCS-21100329
30,EDCS-20800721
31,EDCS-22700073
32,EDCS-21100113
33,EDCS-20900381
34,EDCS-20900382
35,EDCS-21600265
36,EDCS-21600296
37,EDCS-21300178
38,EDCS-21100243
39,EDCS-21100294
40,EDCS-22000461
41,EDCS-20800659
42,EDCS-22000446
43,EDCS-21100164
44,EDCS-20900370
45,EDCS-20800763
46,EDCS-20800723
47,EDCS-22000476
48,EDCS-21600234
49,EDCS-25500175
50,EDCS-21100404
51,EDCS-22000600
52,EDCS-21300226
53,EDCS-22000573
54,EDCS-21100262
55,EDCS-22700100
56,EDCS-22000621
57,EDCS-25500178
58,EDCS-22000479
59,EDCS-21300206
60,EDCS-22000480
61,EDCS-25500119
62,EDCS-21100227
63,EDCS-25500112
64,EDCS-25500104
65,EDCS-22700154
66,EDCS-20800677
67,EDCS-25600577
68,EDCS-21600208
69,EDCS-25600589
70,EDCS-25601718
71,EDCS-22700138
72,EDCS-21300174
73,EDCS-20800708
74,EDCS-21600206
75,EDCS-21100330
76,EDCS-21100142
77,EDCS-22200727
78,EDCS-20900330
79,EDCS-45300116
80,EDCS-21300158
81,EDCS-21300159
82,EDCS-20800675
83,EDCS-22700145
84,EDCS-22700140
85,EDCS-21600284
86,EDCS-21100336
87,EDCS-22000576
88,EDCS-21300138
89,EDCS-22700022
90,EDCS-21100028
91,EDCS-21600301
92,EDCS-21300152
93,EDCS-25001002
94,EDCS-25600595
95,EDCS-21100097
96,EDCS-20800711
97,EDCS-21100005
98,EDCS-21600288
99,EDCS-20900296
100,EDCS-22200696
101,EDCS-21300222
102,EDCS-21100078
103,EDCS-20900358
104,EDCS-70100153
105,EDCS-22700119
106,EDCS-21100066
107,EDCS-21100353
108,EDCS-22000560
109,EDCS-70100150
110,EDCS-21100040
111,EDCS-21600245
112,EDCS-21600197
113,EDCS-22000540
114,EDCS-21100087
115,EDCS-20900334
116,EDCS-20800710
117,EDCS-21100234
118,EDCS-21300108
119,EDCS-21100144
120,EDCS-21100248
121,EDCS-25601720
122,EDCS-21100392
123,EDCS-20900371
124,EDCS-21100096
125,EDCS-21100094
126,EDCS-20900391
127,EDCS-22700056
128,EDCS-22000500
129,EDCS-22700052
130,EDCS-21600280
131,EDCS-22200693
132,EDCS-20800704
133,EDCS-25600597
134,EDCS-20900319
135,EDCS-21300220
136,EDCS-21600163
137,EDCS-22000523
138,EDCS-21100193
139,EDCS-20900378
140,EDCS-21100240
141,EDCS-22700091
142,EDCS-21600254
143,EDCS-21100270
